n:1 mse_avg:11.21 mse_y:14.42 mse_u:4.01 mse_v:5.53 psnr_avg:37.64 psnr_y:36.54 psnr_u:42.10 psnr_v:40.70 
n:2 mse_avg:12193.37 mse_y:18179.41 mse_u:183.97 mse_v:258.64 psnr_avg:7.27 psnr_y:5.54 psnr_u:25.48 psnr_v:24.00 
n:3 mse_avg:1875.34 mse_y:2811.27 mse_u:0.85 mse_v:6.13 psnr_avg:15.40 psnr_y:13.64 psnr_u:48.86 psnr_v:40.25 
n:4 mse_avg:1872.28 mse_y:2806.54 mse_u:1.45 mse_v:6.06 psnr_avg:15.41 psnr_y:13.65 psnr_u:46.52 psnr_v:40.31 
n:5 mse_avg:4.47 mse_y:6.23 mse_u:0.85 mse_v:1.04 psnr_avg:41.63 psnr_y:40.18 psnr_u:48.85 psnr_v:47.97 
n:6 mse_avg:37.59 mse_y:55.91 mse_u:0.87 mse_v:1.05 psnr_avg:32.38 psnr_y:30.66 psnr_u:48.75 psnr_v:47.93 
n:7 mse_avg:84.22 mse_y:125.83 mse_u:0.88 mse_v:1.15 psnr_avg:28.88 psnr_y:27.13 psnr_u:48.71 psnr_v:47.52 
n:8 mse_avg:152.78 mse_y:228.65 mse_u:0.91 mse_v:1.15 psnr_avg:26.29 psnr_y:24.54 psnr_u:48.53 psnr_v:47.51 
n:9 mse_avg:3.14 mse_y:4.25 mse_u:0.90 mse_v:0.92 psnr_avg:43.16 psnr_y:41.84 psnr_u:48.61 psnr_v:48.47 
n:10 mse_avg:294.57 mse_y:440.68 mse_u:3.42 mse_v:1.29 psnr_avg:23.44 psnr_y:21.69 psnr_u:42.79 psnr_v:47.01 
n:11 mse_avg:360.63 mse_y:538.25 mse_u:9.32 mse_v:1.45 psnr_avg:22.56 psnr_y:20.82 psnr_u:38.44 psnr_v:46.50 
n:12 mse_avg:653.31 mse_y:974.27 mse_u:19.25 mse_v:3.55 psnr_avg:19.98 psnr_y:18.24 psnr_u:35.29 psnr_v:42.63 
n:13 mse_avg:3.45 mse_y:4.29 mse_u:2.63 mse_v:0.87 psnr_avg:42.76 psnr_y:41.80 psnr_u:43.93 psnr_v:48.72 
n:14 mse_avg:528.01 mse_y:782.07 mse_u:37.75 mse_v:2.03 psnr_avg:20.90 psnr_y:19.20 psnr_u:32.36 psnr_v:45.06 
n:15 mse_avg:972.86 mse_y:1446.32 mse_u:44.58 mse_v:7.31 psnr_avg:18.25 psnr_y:16.53 psnr_u:31.64 psnr_v:39.49 
n:16 mse_avg:2112.63 mse_y:3156.92 mse_u:35.12 mse_v:12.99 psnr_avg:14.88 psnr_y:13.14 psnr_u:32.68 psnr_v:36.99 
n:17 mse_avg:2.00 mse_y:2.31 mse_u:1.84 mse_v:0.90 psnr_avg:45.12 psnr_y:44.49 psnr_u:45.48 psnr_v:48.57 
n:18 mse_avg:764.71 mse_y:1122.95 mse_u:85.36 mse_v:11.12 psnr_avg:19.30 psnr_y:17.63 psnr_u:28.82 psnr_v:37.67 
n:19 mse_avg:688.09 mse_y:988.31 mse_u:168.45 mse_v:6.84 psnr_avg:19.75 psnr_y:18.18 psnr_u:25.87 psnr_v:39.78 
n:20 mse_avg:1004.09 mse_y:1455.12 mse_u:194.12 mse_v:9.95 psnr_avg:18.11 psnr_y:16.50 psnr_u:25.25 psnr_v:38.15 
n:21 mse_avg:4.68 mse_y:5.48 mse_u:5.08 mse_v:1.08 psnr_avg:41.43 psnr_y:40.74 psnr_u:41.07 psnr_v:47.78 
n:22 mse_avg:778.45 mse_y:1104.73 mse_u:246.20 mse_v:5.58 psnr_avg:19.22 psnr_y:17.70 psnr_u:24.22 psnr_v:40.67 
n:23 mse_avg:799.44 mse_y:1132.69 mse_u:260.06 mse_v:5.83 psnr_avg:19.10 psnr_y:17.59 psnr_u:23.98 psnr_v:40.47 
n:24 mse_avg:1147.49 mse_y:1647.69 mse_u:281.63 mse_v:12.58 psnr_avg:17.53 psnr_y:15.96 psnr_u:23.63 psnr_v:37.13 
n:25 mse_avg:4.85 mse_y:5.43 mse_u:6.24 mse_v:1.15 psnr_avg:41.27 psnr_y:40.78 psnr_u:40.18 psnr_v:47.51 
n:26 mse_avg:1669.25 mse_y:2441.56 mse_u:181.08 mse_v:68.18 psnr_avg:15.91 psnr_y:14.25 psnr_u:25.55 psnr_v:29.79 
n:27 mse_avg:1507.48 mse_y:2199.96 mse_u:148.60 mse_v:96.41 psnr_avg:16.35 psnr_y:14.71 psnr_u:26.41 psnr_v:28.29 
n:28 mse_avg:1261.94 mse_y:1822.55 mse_u:260.75 mse_v:20.69 psnr_avg:17.12 psnr_y:15.52 psnr_u:23.97 psnr_v:34.97 
n:29 mse_avg:3.67 mse_y:4.13 mse_u:4.24 mse_v:1.29 psnr_avg:42.48 psnr_y:41.97 psnr_u:41.86 psnr_v:47.03 
n:30 mse_avg:1205.02 mse_y:1667.18 mse_u:550.06 mse_v:11.36 psnr_avg:17.32 psnr_y:15.91 psnr_u:20.73 psnr_v:37.58 
n:31 mse_avg:1374.98 mse_y:1910.77 mse_u:593.28 mse_v:13.53 psnr_avg:16.75 psnr_y:15.32 psnr_u:20.40 psnr_v:36.82 
n:32 mse_avg:1555.68 mse_y:2213.32 mse_u:458.21 mse_v:22.61 psnr_avg:16.21 psnr_y:14.68 psnr_u:21.52 psnr_v:34.59 
n:33 mse_avg:5.99 mse_y:6.51 mse_u:8.51 mse_v:1.37 psnr_avg:40.36 psnr_y:39.99 psnr_u:38.83 psnr_v:46.77 
n:34 mse_avg:1895.60 mse_y:2672.84 mse_u:427.27 mse_v:254.97 psnr_avg:15.35 psnr_y:13.86 psnr_u:21.82 psnr_v:24.07 
n:35 mse_avg:1750.18 mse_y:2474.65 mse_u:279.35 mse_v:323.17 psnr_avg:15.70 psnr_y:14.20 psnr_u:23.67 psnr_v:23.04 
